what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.callHierarchy",1514635644459
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.callHierarchy",1514635644492
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1514635657258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1514635678329
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1514635687506
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1514635691778
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1514635699382
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1514635699419
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1514635699451
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1514635703562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1514635736832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1514635957480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1514635962452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1514635964624
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1514635967676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1514635977895
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1514636066941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1514636066988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1514636090293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1514636090496
